Designator,Mid X,Mid Y,Layer,Rotation
ATMEGA,19.5,29.5,Top,0
C1,17.5,35,Top,0
C2,23,20.5,Top,270
C3,13.5,12,Top,180
C4,17,20.5,Top,90
C5,12,26.5,Top,0
C6,25.5,27,Top,180
C7,24,34,Top,270
C8,9,25.5,Top,180
C9,17,23,Top,0
C10,27.5,15,Top,0
C13,13.5,9.5,Top,180
D1,26,52.5,Top,180
D2,14,52.5,Top,180
F1,12,30,Top,270
LED1,16,38.5,Top,90
LED6,18.5,38.5,Top,90
Q1,20,20.5,Top,0
R1,27.5,45,Top,180
R2,23,43.5,Top,270
R3,15.5,44.5,Top,180
R4,12,44,Top,270
R5,18.5,15.5,Top,0
R6,15.5,15.5,Top,180
R7,28,20,Top,90
R8,27,9,Top,0
R9,10,12,Top,0
R10,15,41.5,Top,180
R11,12,33.5,Top,180
R12,12,36.5,Top,180
R13,19.5,41.5,Top,0
R14,26.5,12.5,Top,0
R15,30,9,Top,180
RESET,4.5,12.5,Top,270
U1,20.5,11.5,Top,270
